code,title,va_code,node_code,match_type,token,range_size,icd10_crosswalk,curated_icd10_bucket,own_icd10_bucket
1A00,Cholera,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A00.9,vas_01_04,vas_01_04
1A01,Intestinal infection due to other Vibrio,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04,vas_01_04,vas_01_04
1A02,Intestinal infections due to Shigella,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A03.9,vas_01_04,vas_01_04
1A03,Intestinal infections due to Escherichia coli,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04,vas_01_04,vas_01_04
1A03.0,Enteropathogenic Escherichia coli infection,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.0,vas_01_04,vas_01_04
1A03.1,Enterotoxigenic Escherichia coli infection,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.1,vas_01_04,vas_01_04
1A03.2,Enteroinvasive Escherichia coli infection,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.2,vas_01_04,vas_01_04
1A03.3,Enterohaemorrhagic Escherichia coli infection,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.3,vas_01_04,vas_01_04
1A03.Y,Intestinal infections due to other specified Escherichia coli,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.8,vas_01_04,vas_01_04
1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04,vas_01_04,vas_01_04
1A04,Intestinal infections due to Clostridioides difficile,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.7,vas_01_04,vas_01_04
1A05,Intestinal infections due to Yersinia enterocolitica,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.6,vas_01_04,vas_01_04
1A06,Gastroenteritis due to Campylobacter,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.5,vas_01_04,vas_01_04
1A07,Typhoid fever,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A01.0,vas_01_04,vas_01_04
1A07.0,Typhoid peritonitis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A01.0,vas_01_04,vas_01_04
1A07.Y,Other specified typhoid fever,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A01.0,vas_01_04,vas_01_04
1A07.Z,"Typhoid fever, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A01.0,vas_01_04,vas_01_04
1A08,Paratyphoid fever,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A01,vas_01_04,vas_01_04
1A09,Infections due to other Salmonella,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A02.8,vas_01_04,vas_01_04
1A09.0,Salmonella enteritis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A02.0,vas_01_04,vas_01_04
1A09.Y,Infections due to other Salmonella in other organs,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A02.8,vas_01_04,vas_01_04
1A09.Z,"Salmonella infection, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A02.8,vas_01_04,vas_01_04
1A0Y,Other specified bacterial intestinal infections,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.9,vas_01_04,vas_01_04
1A0Z,"Bacterial intestinal infections, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A04.9,vas_01_04,vas_01_04
1A10,Foodborne staphylococcal intoxication,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.0,vas_01_04,vas_01_04
1A11,Botulism,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.1,vas_01_04,vas_01_04
1A11.0,Foodborne intoxication by botulinum toxin,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.1,vas_01_04,vas_01_04
1A11.1,Other forms of botulism,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.1,vas_01_04,vas_01_04
1A11.Z,"Botulism, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.1,vas_01_04,vas_01_04
1A12,Foodborne Clostridium perfringens intoxication,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.2,vas_01_04,vas_01_04
1A13,Foodborne Bacillus cereus intoxication,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.4,vas_01_04,vas_01_04
1A1Y,Other specified bacterial foodborne intoxications,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.9,vas_01_04,vas_01_04
1A1Z,"Bacterial foodborne intoxications, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A05.9,vas_01_04,vas_01_04
1A20,Enteritis due to Adenovirus,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08.2,vas_01_04,vas_01_04
1A21,Gastroenteritis due to Astrovirus,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08.3,vas_01_04,vas_01_04
1A22,Gastroenteritis due to Rotavirus,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08.0,vas_01_04,vas_01_04
1A23,Enteritis due to Norovirus,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08.1,vas_01_04,vas_01_04
1A24,Intestinal infections due to Cytomegalovirus,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08.5,vas_01_04,vas_01_04
1A2Y,Other specified viral intestinal infections,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08,vas_01_04,vas_01_04
1A2Z,"Viral intestinal infections, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A08,vas_01_04,vas_01_04
1A30,Infections due to Balantidium coli,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A07.0,vas_01_04,vas_01_04
1A31,Giardiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A07.1,vas_01_04,vas_01_04
1A32,Cryptosporidiosis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A07.2,vas_01_04,vas_01_04
1A33,Cystoisosporiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,A07.3,vas_01_04,vas_01_04
